PACKET_COUNT,TEAM_ID,MISSION_TIME,MODE,STATE,ALTITUDE,TEMPERATURE,PRESSURE,VOLTAGE,GYRO_R,GYRO_P,GYRO_Y,ACCEL_R,ACCEL_P,ACCEL_Y,MAG_R,MAG_P,MAG_Y,AUTO_GYRO_ROTATION_RATE,GPS_TIME,GPS_ALTITUDE,GPS_LATITUDE,GPS_LONGITUDE,GPS_SATS,CMD_ECHO,HEADING,MAX_ALTITUDE,PAYLOAD_RELEASED,CAM_DIRECTION
1,3141,17:08:51,F,LAUNCH_PAD,-0.3,33.6,91.9,3.9,-0.4,-1.5,-6.1,-1,0.1,0,-1.4,0,0.4,0,17:08:35,171.2,38.2,-79.4,4,CAL,83,1.2,FALSE,11.5
2,3141,17:08:52,F,LAUNCH_PAD,-0.3,33.6,91.9,3.9,-1.4,-1.5,-6.3,-1,0.1,0,-1.4,0,0.4,0,17:08:36,171.1,38.2,-79.4,4,RST,83,0,FALSE,11.5
3,3141,17:08:53,F,LAUNCH_PAD,-0.3,33.6,91.9,3.9,0.4,-1.7,-5.8,-1,0.1,0,-1.4,0,0.4,0,17:08:36,171.1,38.2,-79.4,4,RST,83,0,FALSE,11.5
4,3141,17:08:54,F,LAUNCH_PAD,-0.2,33.6,91.9,3.9,-1.1,-1.2,-6.1,-1,0.1,0,-1.4,0,0.4,0,17:08:36,171.1,38.2,-79.4,4,RST,83,0,FALSE,11.5
5,3141,17:08:55,F,LAUNCH_PAD,-0.2,33.6,91.9,3.9,-0.8,-1.5,-6,-1,0.1,0,-1.4,0,0.4,0,17:08:37,171.1,38.2,-79.4,4,RST,83,0,FALSE,11.5
6,3141,17:08:56,F,LAUNCH_PAD,-0.3,33.6,91.9,3.9,0.2,-1.3,-6,-1,0.1,0,-1.4,0,0.4,0,17:08:37,171.1,38.2,-79.4,4,RST,83,0,FALSE,11.5
7,3141,17:08:57,F,LAUNCH_PAD,-0.2,33.6,91.9,3.9,-0.5,-1.4,-6,-1,0.1,0,-1.4,0,0.4,0,17:08:38,171,38.2,-79.4,4,RST,83,0,FALSE,11.5
8,3141,17:08:58,F,LAUNCH_PAD,-0.1,33.6,91.9,3.9,0.2,-1.6,-5.8,-1,0.1,0,-1.4,0,0.4,0,17:08:38,171,38.2,-79.4,4,RST,83,0,FALSE,11.5
9,3141,17:08:59,F,LAUNCH_PAD,-0.3,33.6,91.9,3.9,-0.6,-1.3,-6.1,-1,0.1,0,-1.4,0,0.4,0,17:08:38,171,38.2,-79.4,4,RST,83,0,FALSE,11.5
10,3141,17:09:00,F,LAUNCH_PAD,0,33.6,91.9,3.9,-0.3,-1.5,-6,-1,0.1,0,-1.4,0,0.4,0,17:08:38,171,38.2,-79.4,4,RST,83,0,FALSE,11.5
11,3141,17:09:01,F,LAUNCH_PAD,-0.2,33.6,91.9,3.9,-0.3,-1.4,-6,-1,0.1,0,-1.4,0,0.4,0,17:08:39,170.9,38.2,-79.4,4,RST,83,0,FALSE,11.5
12,3141,17:09:02,F,LAUNCH_PAD,-0.2,33.6,91.9,3.9,-0.4,-1.5,-6.2,-1,0.1,0,-1.4,0,0.4,0,17:08:39,170.9,38.2,-79.4,4,RST,83,0,FALSE,11.5
13,3141,17:09:03,F,LAUNCH_PAD,-0.2,33.6,91.9,3.9,-0.2,-1.4,-6,-1,0.1,0,-1.4,0,0.4,0,17:08:39,170.9,38.2,-79.4,4,RST,83,0,FALSE,11.5
14,3141,17:09:04,F,LAUNCH_PAD,-0.2,33.6,91.9,3.9,-0.3,-1.4,-6.1,-1,0.1,0,-1.4,0,0.4,0,17:08:40,170.9,38.2,-79.4,4,RST,83,0,FALSE,11.5
15,3141,17:09:05,F,LAUNCH_PAD,-0.3,33.6,91.9,3.9,0.1,-1.3,-6,-1,0.1,0,-1.4,0,0.4,0,17:08:40,170.9,38.2,-79.4,4,RST,83,0,FALSE,11.5
16,3141,17:09:06,F,LAUNCH_PAD,-0.2,33.6,91.9,3.9,0.2,-1.3,-6,-1,0.1,0,-1.4,0,0.4,0,17:08:41,12,38.2,-79.4,4,RST,84,0,FALSE,11.5
